class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	date_format	date_max	date_min	display_columns	display_rows	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_default	slider_layout	slider_max	slider_middlestart	slider_min	slider_rating	slider_reset	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown
Q	S	mobile	1	<script type="text/javascript" charset="utf-8">   $(document).ready(function(){     var isMobile = false; //initiate as false     // device detection     if(/(android|bb\d+|meego).+mobile|avantgo|bada\/|blackberry|blazer|compal|elaine|fennec|hiptop|iemobile|ip(hone|od)|ipad|iris|kindle|Android|Silk|lge |maemo|midp|mmp|netfront|opera m(ob|in)i|palm( os)?|phone|p(ixi|re)\/|plucker|pocket|psp|series(4|6)0|symbian|treo|up\.(browser|link)|vodafone|wap|windows (ce|phone)|xda|xiino/i.test(navigator.userAgent)       || /1207|6310|6590|3gso|4thp|50[1-6]i|770s|802s|a wa|abac|ac(er|oo|s\-)|ai(ko|rn)|al(av|ca|co)|amoi|an(ex|ny|yw)|aptu|ar(ch|go)|as(te|us)|attw|au(di|\-m|r |s )|avan|be(ck|ll|nq)|bi(lb|rd)|bl(ac|az)|br(e|v)w|bumb|bw\-(n|u)|c55\/|capi|ccwa|cdm\-|cell|chtm|cldc|cmd\-|co(mp|nd)|craw|da(it|ll|ng)|dbte|dc\-s|devi|dica|dmob|do(c|p)o|ds(12|\-d)|el(49|ai)|em(l2|ul)|er(ic|k0)|esl8|ez([4-7]0|os|wa|ze)|fetc|fly(\-|_)|g1 u|g560|gene|gf\-5|g\-mo|go(\.w|od)|gr(ad|un)|haie|hcit|hd\-(m|p|t)|hei\-|hi(pt|ta)|hp( i|ip)|hs\-c|ht(c(\-| |_|a|g|p|s|t)|tp)|hu(aw|tc)|i\-(20|go|ma)|i230|iac( |\-|\/)|ibro|idea|ig01|ikom|im1k|inno|ipaq|iris|ja(t|v)a|jbro|jemu|jigs|kddi|keji|kgt( |\/)|klon|kpt |kwc\-|kyo(c|k)|le(no|xi)|lg( g|\/(k|l|u)|50|54|\-[a-w])|libw|lynx|m1\-w|m3ga|m50\/|ma(te|ui|xo)|mc(01|21|ca)|m\-cr|me(rc|ri)|mi(o8|oa|ts)|mmef|mo(01|02|bi|de|do|t(\-| |o|v)|zz)|mt(50|p1|v )|mwbp|mywa|n10[0-2]|n20[2-3]|n30(0|2)|n50(0|2|5)|n7(0(0|1)|10)|ne((c|m)\-|on|tf|wf|wg|wt)|nok(6|i)|nzph|o2im|op(ti|wv)|oran|owg1|p800|pan(a|d|t)|pdxg|pg(13|\-([1-8]|c))|phil|pire|pl(ay|uc)|pn\-2|po(ck|rt|se)|prox|psio|pt\-g|qa\-a|qc(07|12|21|32|60|\-[2-7]|i\-)|qtek|r380|r600|raks|rim9|ro(ve|zo)|s55\/|sa(ge|ma|mm|ms|ny|va)|sc(01|h\-|oo|p\-)|sdk\/|se(c(\-|0|1)|47|mc|nd|ri)|sgh\-|shar|sie(\-|m)|sk\-0|sl(45|id)|sm(al|ar|b3|it|t5)|so(ft|ny)|sp(01|h\-|v\-|v )|sy(01|mb)|t2(18|50)|t6(00|10|18)|ta(gt|lk)|tcl\-|tdg\-|tel(i|m)|tim\-|t\-mo|to(pl|sh)|ts(70|m\-|m3|m5)|tx\-9|up(\.b|g1|si)|utst|v400|v750|veri|vi(rg|te)|vk(40|5[0-3]|\-v)|vm40|voda|vulc|vx(52|53|60|61|70|80|81|83|85|98)|w3c(\-| )|webc|whit|wi(g |nc|nw)|wmlb|wonu|x700|yas\-|your|zeto|zte\-/i.test(navigator.userAgent.substr(0,4))) isMobile = true;      $('#question{QID} input[type="text"]').val(isMobile);     $('div#question{QID}').hide();    }); </script>Does the participant use a mobile device?		nl-informal			N		1																																								300		500	11																																																				1	1				1																
Q	S	userAgent	1	<script type="text/javascript" charset="utf-8">   $(document).ready(function(){     var userAgent = navigator.userAgent;      $('#question{QID} input[type="text"]').val(userAgent);     $('div#question{QID}').hide();    }); </script>Which userAgent does the participant's client report?		nl-informal			N		1																																								300		500	11																																																				1	1				1																
Q	S	screenWidth	1	<script type="text/javascript" charset="utf-8">   $(document).ready(function(){     $('#question{QID} input[type="text"]').val($(window).width());     $('div#question{QID}').hide();    }); </script>Width of the participant's browser screen as determined by JQuery.		nl-informal			N		1																																								300		500	11																																																				1	1				1																
Q	*	nightlifeDefText	1	<p>  Met 'uitgaan' bedoelen we het bezoeken van een festival, optreden, feest, evenement, club, of cafe. In deze vragenlijst bedoelen we 's nachts uitgaan; waardoor je die nacht dus minder slaapt.</p> <p>  Met "genoeg slapen" bedoelen we ongeveer 8 uur slaap. Sommige mensen hebben genoeg aan 7 uur slaap, en sommige mensen hebben 9 uur slaap nodig, dus als jij wat minder of meer dan 8 uur slaap nodig hebt, dan is dat voor jou "genoeg slaap".</p> 		nl-informal			N		1																																		1																																																													1																					
G	G1	noConsent	informedConsent.NAOK == "no"	<div class="whiteBox">  <p>   Jammer dat je toch liever niet meedoet!</p>  <p>   Wij zouden er veel aan hebben als je hieronder aan zou willen geven waarom je niet mee wil doen. Dat kan door contact met ons op te nemen via <a href="https://partypanel.nl/?contact" target="_blank">https://partypanel.nl/?contact</a>, of door je reden hieronder in te typen en op "Volgende" te klikken. Als je dit laatste doet, word je daarna doorgestuurd naar <a href="https://partypanel.nl/?reg" target="_blank">https://partypanel.nl/?reg</a>, waar je, als je wil, je kunt inschrijven voor Party Panel. Als je dat doet, krijg je de volgende keer als we een vragenlijst hebben automatisch een mailtje.</p>  <p>   Heb je per ongeluk aangegeven dat je niet mee wil doen? Je kunt nog terug, door onderaan op "Vorige" te klikken.</p> </div> <p>   </p> 		nl-informal																																																																																																																									
Q	T	noConsentReason	1	Waarom doe je liever niet mee?		nl-informal			N		1																																																																																															1					1																
G	G2	partyBehavior	informedConsent.NAOK == "yes"			nl-informal																																																																																																																									
Q	X	smallScreen	(( ! is_empty(screenWidth)) && (screenWidth < 850)) || (mobile == 'true')	<p>  Het lijkt er op dat je een smartphone of een device met een relatief klein scherm gebruikt. Deze vragenlijst is het prettigst om in te vullen op een computer of op een tablet. Mocht je halverwege besluiten dat je liever later op een ander device verder gaat, dan kun je altijd onderin op "Later verdergaan" klikken.</p> 		nl-informal			N		1																																																																																															1					1																
Q	;	goingOutFreqNr	1	<p>  Kun je aangeven hoe vaak je het afgelopen half jaar (de afgelopen 6 maanden) naar elk van deze gelegenheden bent geweest?</p> <script type="text/javascript" charset="utf-8"> $(document).ready(function(){   $('#question{QID}').multiTypeArray({ questionCount: 2 });    /* Fine-tune question display */    /* 1. Reduce table header spacing */   $('#question{QID} table.question thead tr.head-row-1 th.mta-question-2 .asterisk').hide();   $('#question{QID} table.question thead tr.head-row-1 th.mta-question-2 .questionhelp').hide();    /* 2. Place header of part 2 properly */   $('#question{QID} table.question thead tr.head-row-1 th.mta-question-2:last').attr("colspan", "3");    /* 3. Reduce space for part 1 */   $('#question{QID} table.question tbody tr td.mta-question-1').attr("width", "150px");   $('#question{QID} table.question .spacer').attr("width", "1px");    /* 4. Move "keer" text */   var suffixtext = $('#question{QID} table.question thead tr.head-row-1 th.mta-question-1').text();   $('#question{QID} table.question thead tr.head-row-1 th.mta-question-1').hide();     $("<span class='inputsuffix'>"+suffixtext+"</span>").appendTo("#question{QID} table.question tbody  td.mta-question-1");   });  $(function(){   $('[id^="answer{SGQ}"]').each(function(index) {     $(this).change(function() {       var qHidden = "622298X345X8480";       var currentId = $(this).attr('id');       var hiddenId = currentId.replace('{SGQ}', qHidden);       var hiddenId = "#" + hiddenId.replace('_nr', '');       console.log(hiddenId);       console.log($(hiddenId).attr('id'));       console.log($(hiddenId).val);       if ($(this).val() == 0) {         $(hiddenId).val('');       } else {         $(hiddenId).val('Yes');       }     });   }); });   </script>	Vergeet niet aan te geven of je het aantal keer per week, per maand, of in totaal intypt! Als je ergens helemaal niet bent geweest, type dan 0 in.	nl-informal		Y	N		1			40																																																	4										1																				X													1			4																		
SQ	0	houseparty		Een feestje bij mensen thuis		nl-informal																																																																																																																									
SQ	0	cafe		Een café, kroeg, of bar		nl-informal																																																																																																																									
SQ	0	disco		Een discotheek of club		nl-informal																																																																																																																									
SQ	0	poppodium		Een poppodium of concertzaal		nl-informal																																																																																																																									
SQ	0	band		Een optreden van een band		nl-informal																																																																																																																									
SQ	0	smallPartyInside		Een kleinschalig binnenfeest of -festival<br /><span style="font-size:80%; opacity: .75;">(minder dan 5000 bezoekers)</span>		nl-informal																																																																																																																									
SQ	0	bigPartyInside		Een groot binnenfeest of -festival<br /><span style="font-size:80%; opacity: .75;">(meer dan 5000 bezoekers)</span>		nl-informal																																																																																																																									
SQ	0	smallPartyOutside		Een kleinschalig buitenfeest of -festival<br /><span style="font-size:80%; opacity: .75;">(minder dan 5000 bezoekers)</span>		nl-informal																																																																																																																									
SQ	0	bigPartyOutside		Een groot buitenfeest of -festival<br /><span style="font-size:80%; opacity: .75;">(meer dan 5000 bezoekers)</span>		nl-informal																																																																																																																									
SQ	1	nr		keer ...		nl-informal																																																																																																																									
Q	F	goingOutFreqPeriod	1			nl-informal		Y	N		1			50																																																																																												1																					
SQ	0	houseparty		Een feestje bij mensen thuis		nl-informal																																																																																																																									
SQ	0	cafe		Een café, kroeg, of bar		nl-informal																																																																																																																									
SQ	0	disco		Een discotheek of club		nl-informal																																																																																																																									
SQ	0	poppodium		Een poppodium of concertzaal		nl-informal																																																																																																																									
SQ	0	band		Een optreden van een band		nl-informal																																																																																																																									
SQ	0	smallPartyInside		Een kleinschalig binnenfeest of -festival<br /><span style="font-size:80%; opacity: .75;">(minder dan 5000 bezoekers)</span>		nl-informal																																																																																																																									
SQ	0	bigPartyInside		Een groot binnenfeest of -festival<br /><span style="font-size:80%; opacity: .75;">(meer dan 5000 bezoekers)</span>		nl-informal																																																																																																																									
SQ	0	smallPartyOutside		Een kleinschalig buitenfeest of -festival<br /><span style="font-size:80%; opacity: .75;">(minder dan 5000 bezoekers)</span>		nl-informal																																																																																																																									
SQ	0	bigPartyOutside		Een groot buitenfeest of -festival<br /><span style="font-size:80%; opacity: .75;">(meer dan 5000 bezoekers)</span>		nl-informal																																																																																																																									
A	0	26		... per week		nl-informal																																																																																																																									
A	0	6		... per maand		nl-informal																																																																																																																									
A	0	1		... in totaal <span style="font-size:80%; opacity: .75;">(per 6 maanden)</span>		nl-informal																																																																																																																									
Q	*	totalGoingOutFreq	1	<p>  {(goingOutFreqNr_houseparty_nr * goingOutFreqPeriod_houseparty) + (goingOutFreqNr_cafe_nr * goingOutFreqPeriod_cafe) + (goingOutFreqNr_disco_nr * goingOutFreqPeriod_disco) + (goingOutFreqNr_band_nr * goingOutFreqPeriod_band) + (goingOutFreqNr_smallPartyInside_nr * goingOutFreqPeriod_smallPartyInside) + (goingOutFreqNr_bigPartyInside_nr * goingOutFreqPeriod_bigPartyInside) + (goingOutFreqNr_smallPartyOutside_nr * goingOutFreqPeriod_smallPartyOutside) + (goingOutFreqNr_bigPartyOutside_nr * goingOutFreqPeriod_bigPartyOutside)}</p> 		nl-informal			N		1																																		1																																																													1																					
Q	M	tooMuchGoingOutCheck	totalGoingOutFreq.NAOK > 180	Je hebt aangegeven dat je in het afgelopen halfjaar {totalGoingOutFreq} keer op de een of andere manier bent uitgegaan. Het afgelopen halfjaar omvatte 182 dagen, dus dat betekent dat je zo ongeveer elke dag bent uitgegaan. Weet je zeker dat dat klopt, of is er misschien iets fout gegaan?	Als er iets fout is gegaan, kun je dat hierboven gewoon corrigeren.	nl-informal			N		1							1									1																																																																															1																					
SQ	0	isCorrect		Het klopt echt.		nl-informal																																																																																																																									
Q	M	rarelyWentOutCheck	(totalGoingOutFreq < 7) && (goingOutFreqPeriod_houseparty > 0) && (goingOutFreqPeriod_cafe > 0) && (goingOutFreqPeriod_disco > 0) && (goingOutFreqPeriod_band > 0) && (goingOutFreqPeriod_smallPartyInside > 0) && (goingOutFreqPeriod_bigPartyInside > 0) && (goingOutFreqPeriod_smallPartyOutside > 0) && (goingOutFreqPeriod_bigPartyOutside > 0)	Je hebt aangegeven dat je in het afgelopen halfjaar {totalGoingOutFreq} keer op de een of andere manier bent uitgegaan. Party Panel richt zich op het Nederlandse uitgaansleven, dus als je echt niet vaak uitgaat, kan het zijn dat de vragen niet van toepassing zijn. Daarom even deze check: weet je zeker dat dat klopt, of is er misschien iets fout gegaan?	Als er iets fout is gegaan, kun je dat hierboven gewoon corrigeren.	nl-informal			N		1							1									1																																																																															1																					
SQ	0	isCorrect		Het klopt echt.		nl-informal																																																																																																																									
Q	Q	visitedVenues	1	This is a hidden question used to store which venues this participant visits. <script type="text/javascript" charset="utf-8">     $(function(){     $('#question{QID}').css('display', 'none');   });   </script>		nl-informal			N		1																																																																																															1																					
SQ	0	houseparty		Een feestje bij mensen thuis		nl-informal																																																																																																																									
SQ	0	cafe		Een café, kroeg, of bar		nl-informal																																																																																																																									
SQ	0	disco		Een discotheek of club		nl-informal																																																																																																																									
SQ	0	band		Een optreden van een band		nl-informal																																																																																																																									
SQ	0	smallPartyInside		Een kleinschalig binnenfeest of -festival		nl-informal																																																																																																																									
SQ	0	bigPartyInside		Een groot binnenfeest of -festival		nl-informal																																																																																																																									
SQ	0	smallPartyOutside		Een kleinschalig buitenfeest of -festival		nl-informal																																																																																																																									
SQ	0	bigPartyOutside		Een groot buitenfeest of -festival		nl-informal																																																																																																																									
Q	Q	musicPrefParty	1	Wat is jouw favoriete muziek voor als je uit gaat?	Dit gaat over festivals, optredens, en clubs en cafes.	nl-informal			N		1																																																																																															1																					
SQ	0	genre1		Favoriete muziekgenre voor uitgaan:		nl-informal																																																																																																																									
